"departureStationId","returnStationId","Lainauksia","medianLainaMatka","medianLainaAika"
"001","001",85,1325,1017
"001","002",30,1553,649
"001","003",23,1647,870
"001","004",40,1177.5,476.5
"001","005",44,1274,450.5
"001","006",105,1724,600
"001","007",24,983.5,372
"001","008",30,2254.5,930.5
"001","009",54,2068.5,737.5
"001","010",35,1484,589
"001","011",122,2308,714
"001","012",143,2623,689
"001","013",15,3359,891
"001","014",18,2301.5,759.5
"001","015",26,2242.5,601.5
"001","016",71,2648,823
"001","017",24,2961.5,906.5
"001","018",12,1894.5,608.5
"001","019",41,2331,816
"001","020",11,2542,981
"001","021",11,3212,1190
"001","022",20,2453,932.5
"001","023",13,3021,966
"001","024",27,2260,738
"001","025",19,3310,917
"001","026",58,2296,754.5
"001","027",4,2042.5,733.5
"001","028",9,2262,892
"001","029",26,2367,785
"001","030",99,2713,780
"001","031",20,3105.5,1020.5
"001","032",7,3003,1361
"001","033",6,3146.5,879.5
"001","034",2,3363.5,1403
"001","035",5,4065,1299
"001","036",8,3668.5,1443
"001","037",11,4149,1287
"001","038",9,4277,1538
"001","039",14,4181.5,1280.5
"001","040",49,3951,1113
"001","041",39,4625,1255
"001","042",8,4700.5,1346.5
"001","043",1,3945,1106
"001","044",9,5860,1526
"001","045",2,5439.5,3502.5
"001","046",1,4324,1715
"001","047",61,2060,542
"001","048",34,2541.5,712
"001","049",32,1510.5,588.5
"001","050",7,5569,1556
"001","051",3,5606,1348
"001","052",12,5567,1664.5
"001","053",10,4671.5,1369.5
"001","054",6,5050.5,1178.5
"001","055",2,6296,2175.5
"001","056",8,5973.5,1374
"001","057",7,4515,1078
"001","058",24,4229.5,1354.5
"001","059",27,3532,996
"001","060",7,3067,1004
"001","061",12,3152,1094
"001","062",51,2730,832
"001","063",56,2235,753
"001","064",42,2800,876.5
"001","065",73,1223,438
"001","066",50,651.5,327
"001","067",25,1482,439
"001","068",19,1509,675
"001","069",22,2077,700.5
"001","070",17,3538,1118
"001","071",22,4222.5,1254
"001","072",34,4170,1440.5
"001","073",12,4366.5,1346
"001","074",5,5627,1709
"001","075",7,4827,1483
"001","076",12,4743,1315.5
"001","077",7,4872,1413
"001","078",13,5172,1558
"001","079",3,5954,3370
"001","080",5,4380,1133
"001","081",4,5435.5,1457.5
"001","082",7,4903,1610
"001","083",8,5660,1538
"001","084",5,5778,1491
"001","086",1,5621,1563
"001","087",3,6081,1716
"001","090",2,6419.5,1976
"001","091",5,7248,2726
"001","092",1,7438,1801
"001","093",1,7747,1422
"001","094",1,6812,1921
"001","095",1,7776,1642
"001","101",3,8241,2532
"001","103",2,7458,2059
"001","105",1,8073,2181
"001","106",12,6698.5,1303
"001","107",1,6172,1576
"001","110",1,6027,1593
"001","111",4,6601.5,2051.5
"001","112",1,5209,1316
"001","113",1,1400,36813
"001","114",1,6795,1733
"001","116",5,6585,2186
"001","117",3,5309,1500
"001","118",5,5823,1518
"001","119",1,5601,1408
"001","120",1,5637,1677
"001","121",25,5168,1256
"001","122",24,4381,1268
"001","123",50,4037.5,1033.5
"001","124",24,5922,1579.5
"001","125",13,5725,1546
"001","126",20,5786.5,1427.5
"001","127",6,4737,1320
"001","128",1,6353,1784
"001","129",5,6256,1675
"001","130",1,5429,1679
"001","133",2,6698,1626
"001","134",13,6056,1274
"001","135",1,7688,1996
"001","137",4,6338.5,1490.5
"001","138",1,7410,1810
"001","143",2,5363,1821.5
"001","149",9,4870,1326
"001","150",20,3845,1042.5
"001","161",56,1776,642.5
"001","162",9,3067,1102
"001","163",1,8786,1812
"001","200",1,3509,800
"001","201",40,3086,886.5
"001","202",29,3642,1099
"001","208",1,1182,21116
"001","226",1,10048,2576
"001","243",4,8247.5,2381
"001","244",2,6715,1768
"001","245",4,7122,1741
"001","252",1,10871,3887
"001","272",2,11259,3663.5
"001","290",2,5595.5,1391
"001","294",1,8229,2612
"001","401",1,5927,1667
"001","503",1,8356,1572
"001","518",1,9668,2759
"001","527",1,10631,3205
"001","541",1,9721,2220
"001","547",1,10030,2706
"001","585",1,13448,2975
"001","591",1,12051,4504
"001","595",1,10683,2596
"001","997",1,3680771,1557495
"002","001",29,1533,493
"002","002",16,1515.5,914.5
"002","003",6,811.5,337.5
"002","004",12,1001,376.5
"002","005",18,1837.5,621
"002","006",18,2842,1037
"002","007",3,1086,324
"002","008",9,1564,509
"002","009",34,1216,374.5
"002","010",4,1197,436
"002","011",47,873,321
"002","012",49,1159,337
"002","013",8,2502,674
"002","014",18,1035.5,423.5
"002","015",21,1396,548
"002","016",22,1863,509.5
"002","017",7,1639,462
"002","018",8,1196.5,407
"002","019",19,1651,502
"002","020",15,1848,565
"002","021",3,2329,1260
"002","022",10,1796.5,674.5
"002","023",3,1856,741
"002","024",9,1636,470
"002","025",10,1999,698
"002","026",12,2251,751.5
"002","027",1,2434,925
"002","028",1,3359,1241
"002","029",18,2760,685.5
"002","030",7,3332,1027
"002","031",2,2996,1076.5
"002","032",4,2138.5,587
"002","033",1,2460,824
"002","034",1,2533,716
"002","035",1,2675,879
"002","037",2,2915.5,865
"002","039",7,3489,1282
"002","040",20,2938,817.5
"002","041",21,3254,864
"002","042",4,3274.5,846
"002","043",5,2901,855
"002","044",6,4072,1351
"002","045",2,4037,1392.5
"002","046",2,4274.5,1692
"002","047",33,579,187
"002","048",29,1762,576
"002","049",8,1491,515.5
"002","052",12,5791,1288.5
"002","057",2,5107.5,1450
"002","058",3,4300,1419
"002","059",1,3800,844
"002","060",2,3774,1174.5
"002","061",2,3548.5,1301.5
"002","062",8,3141,1023.5
"002","063",10,2961.5,802
"002","064",7,4282,1241
"002","065",27,2834,921
"002","066",23,951,369
"002","067",4,1880,471
"002","068",4,1695,801.5
"002","069",7,2129,679
"002","070",3,3254,962
"002","071",1,5362,1340
"002","072",1,5241,1769
"002","074",1,5252,1410
"002","075",2,3899.5,1268.5
"002","076",7,3582,900
"002","077",2,4564,1338
"002","078",1,4333,1339
"002","080",4,5758,1468
"002","082",1,4847,1533
"002","083",1,5537,1426
"002","086",2,5240.5,1691.5
"002","087",1,4259,1562
"002","090",1,6920,2239
"002","106",1,6083,1805
"002","109",1,6160,2299
"002","113",4,5576,1358.5
"002","114",2,5407,1470.5
"002","116",3,4406,1407
"002","117",1,4945,1394
"002","118",4,4765.5,1222.5
"002","121",12,3741.5,968
"002","122",19,3359,895
"002","123",17,2662,740
"002","124",8,4702.5,1274
"002","125",11,4467,1332
"002","126",14,4337.5,1153.5
"002","127",7,3963,1088
"002","129",5,4780,1449
"002","130",1,5316,1303
"002","133",1,4823,1518
"002","134",9,5762,1429
"002","135",1,6054,1761
"002","137",1,6554,1776
"002","138",1,6699,1872
"002","143",1,5572,1917
"002","149",3,3503,1178
"002","150",3,4097,1139
"002","161",29,1057,330
"002","162",2,3309,1074
"002","200",1,4318,1346
"002","201",4,5118.5,1614.5
"002","202",17,2583,929
"002","235",2,9910,4352.5
"002","243",1,5482,1117
"002","244",3,5902,1598
"002","245",10,5942,1241.5
"002","259",1,7412,1589
"002","290",1,4823,1249
"002","553",1,24707,6703
"003","001",20,652,382
"003","002",10,1269,360.5
"003","003",54,1856.5,922.5
"003","004",45,547,201
"003","005",47,483,176
"003","006",59,1182,406
"003","007",23,608,248
"003","008",21,1168,476
"003","009",36,1136.5,453
"003","010",20,1012.5,610
"003","011",48,1611,451
"003","012",51,1958,549
"003","013",8,3004,966
"003","014",25,1790,479
"003","015",12,2067.5,562
"003","016",26,2579.5,738
"003","017",15,2103,582
"003","018",8,1461.5,433
"003","019",53,1572,496
"003","020",7,1778,599
"003","021",20,1931,523.5
"003","022",43,1819,556
"003","023",5,1635,508
"003","024",42,1555.5,585.5
"003","025",17,1815,582
"003","026",67,1614,586
"003","027",40,1402,397.5
"003","028",6,1645,523
"003","029",13,1839,546
"003","030",71,2148,653
"003","031",11,2425,852
"003","032",5,2083,875
"003","033",25,2027,751
"003","034",1,2411,622
"003","035",1,2922,804
"003","036",12,3193.5,1228.5
"003","037",4,2498,823.5
"003","038",10,3319.5,933
"003","039",9,3396,1010
"003","040",17,3633,908
"003","041",30,3735,921.5
"003","042",8,3824.5,1038
"003","043",3,3471,1008
"003","044",7,4173,1211
"003","045",3,4460,1366
"003","047",20,1317,369
"003","048",4,2460,660.5
"003","049",22,883,282
"003","050",4,4985,1498.5
"003","051",2,5222,1424
"003","052",3,4567,1308
"003","053",8,4078,1132.5
"003","054",8,4644,1215
"003","055",1,5873,1511
"003","056",10,5444,1405.5
"003","057",11,3900,1094
"003","058",9,3502,1110
"003","059",13,3024,886
"003","060",10,2573.5,849.5
"003","061",10,2560,694
"003","062",20,2181.5,673.5
"003","063",38,1659,480
"003","064",55,2229,679
"003","065",46,1242,342
"003","066",12,1599.5,670
"003","067",29,790,245
"003","068",15,706,280
"003","069",26,1421,526
"003","070",16,2582.5,827
"003","071",9,3651,1007
"003","072",12,3340.5,1021
"003","073",5,4124,1316
"003","074",22,4252,1128.5
"003","075",3,4188,1386
"003","076",24,3233,811
"003","077",3,4332,1406
"003","078",2,4313.5,1250
"003","079",6,3871,1481
"003","080",10,3843.5,1066
"003","081",2,5088,1486.5
"003","082",4,4302,1245.5
"003","083",1,4968,1762
"003","084",5,5391,1495
"003","085",2,5010,1448
"003","086",4,5605,1566
"003","087",2,5324.5,1297
"003","090",1,6012,1655
"003","091",2,6053,1602
"003","094",1,6616,1445
"003","095",1,6256,1762
"003","098",1,7873,1627
"003","101",1,7868,2127
"003","104",1,6945,1691
"003","109",1,6117,1377
"003","111",3,4998,1418
"003","112",2,5122.5,1420
"003","113",1,5323,1412
"003","114",1,5836,2190
"003","116",4,4208.5,1217.5
"003","117",5,4554,1417
"003","118",4,5011.5,1405
"003","119",3,5313,1592
"003","120",1,5355,1185
"003","121",10,4676.5,1122.5
"003","122",25,4026,978
"003","123",8,3457,952.5
"003","124",6,5474,1471.5
"003","125",5,5293,1310
"003","126",13,4898,1254
"003","127",7,4949,1499
"003","128",2,6081.5,1696.5
"003","129",7,5511,1458
"003","131",1,5490,1676
"003","132",2,5027,1481
"003","135",2,6563.5,2237
"003","137",15,6224,1375
"003","138",2,7483,1833
"003","141",4,7196,1297
"003","143",4,5033.5,1437.5
"003","144",1,7880,2150
"003","149",1,4760,1668
