"ID","Nimi","Namn","Name","Osoite","Adress","Kaupunki","Stad","Kapasiteet","x","y"
"501","Hanasaari","Hanaholmen","Hanasaari","Hanasaarenranta 1","Hanaholmsstranden 1","Espoo","Esbo",10,24.840319,60.16582
"503","Keilalahti","Kägelviken","Keilalahti","Keilalahdentie 2","Kägelviksvägen 2","Espoo","Esbo",28,24.827467,60.171524
"505","Westendinasema","Westendstationen","Westendinasema","Westendintie 1","Westendvägen 1","Espoo","Esbo",16,24.805758,60.168266
"507","Golfpolku","Golfstigen","Golfpolku","Golfpolku 3","Golfstigen 3","Espoo","Esbo",16,24.796136,60.168143
"509","Revontulentie","Norrskensvägen","Revontulentie","Revontulentie 10","Norrskensvägen 10","Espoo","Esbo",30,24.802938,60.171551
"511","Sateentie","Regnvägen","Sateentie","Sateentie 2","Regnvägen 2","Espoo","Esbo",18,24.810688,60.173424
"513","Hakalehto","Hagliden","Hakalehto","Merituulentie 18","Havsvindsvägen 18","Espoo","Esbo",24,24.79139,60.173567
"515","Oravannahkatori","Gråskinnstorget","Oravannahkatori","Oravannahkatori 1","Gråskinnstorget 1","Espoo","Esbo",16,24.792559,60.175769
"517","Länsituuli","Västanvinden","Länsituuli","Länsituulenkuja 3","Västanvindsgränden 3","Espoo","Esbo",24,24.802049,60.175358
"518","Tuulimäki","Väderbacken","Tuulimäki","Itätuulenkuja 11","Östanvindsgränden 11","Espoo","Esbo",18,24.806051,60.174144
"519","Tapionaukio","Tapioplatsen","Tapionaukio","Tapionaukio 9","Tapioplatsen 9","Espoo","Esbo",26,24.805825,60.176168
"521","Kulttuuriaukio","Kulturplatsen","Kulttuuriaukio","Kulttuuriaukio 2","Kulturplatsen 2","Espoo","Esbo",30,24.803942,60.177588
"523","Ahertajantie","Flitarvägen","Ahertajantie","Ahertajantie 1","Flitargränden 1","Espoo","Esbo",20,24.797984,60.17875
"525","Mäntyviita","Tallbysket","Mäntyviita","Mäntyviita 2","Tallbysket 2","Espoo","Esbo",10,24.810974,60.178702
"527","Otsolahti","Björnviken","Otsolahti","Otsolahdentie 18","Björnviksvägen 18","Espoo","Esbo",18,24.817423,60.178655
"529","Keilaniemi (M)","Kägeludden (M)","Keilaniemi (M)","Keilaniementie 4","Kägeluddsvägen 4","Espoo","Esbo",40,24.82895,60.175233
"531","Keilaranta","Kägelstranden","Keilaranta","Keilaranta 13","Kägelstranden 13","Espoo","Esbo",24,24.835132,60.178762
"532","Betonimies","Betongblandaren","Betonimies","Betonimiehenkuja 1","Betongblandargränden 1","Espoo","Esbo",16,24.831804,60.180027
"533","Tekniikantie","Teknikvägen","Tekniikantie","Tekniikantie 3","Teknikvägen 3","Espoo","Esbo",18,24.824747,60.180806
"537","Innopoli","Innopoli","Innopoli","Tekniikantie 14","Teknikvägen 14","Espoo","Esbo",20,24.81422,60.185096
"538","Hagalundinpuisto","Hagalundinpuisto","Hagalundsparken","Tekniikantie 15","Teknikvägen 15","Espoo","Esbo",14,24.817403,60.18363
"539","Aalto-yliopisto (M), Tietot","Aalto-universitetet (M),","Aalto University (M), Tietotie","Tietotie 4","Datavägen 4","Espoo","Esbo",20,24.820099,60.184987
"541","Aalto-yliopisto (M), Korkea","Aalto-universitetet (M),","Aalto University (M), Korkeakoulua","Otaniementie 10","Otnäsvägen 10","Espoo","Esbo",42,24.826671,60.184312
"543","Otaranta","Oststranden","Otaranta","Otaranta 6","Otstranden 6","Espoo","Esbo",22,24.837133,60.18483
